The questions matter to me.,I feel responsible to make choices in these situations.,Please click the rightmost button.,I compare both options for each question and see how different they are to me.,I need more information about the questions to make my decisions.,additional_strategies,framing_awareness,framing_explanation,expected_value_check,participant_id
2,1,1,1,4,no,No,,5,0
2,2,1,2,2,no,No,,$5,1
2,2,1,1,3,Just my general feeling about the possible outcomes,No,,5,2
2,2,1,1,3,,No,,5,3
3,2,1,2,4,No,Yes,On other surveys,5,4
2,3,1,2,2,I did not use any strategies,No,no comment,10,5
1,2,1,2,2,,Yes,social dilemmas like the train hitting one or 4 people ,5,6
2,2,2,2,3,Na,No,,5,7
2,2,1,2,3,bit of simple maths/probability,Yes,I am aware of stats and outcomes,5,8
4,4,1,2,2,no,No,,5,9
1,1,1,1,3,,No,,5,10
1,1,1,1,3,I put myself tn the situation to see how I would feel with either option,No,,5,11
4,2,1,2,2,I calculated the percentage that would be infected if the chance went wrong and compared it to the percentage chance,No,,5,12
3,2,1,3,4,N/a,No,,5,13
2,2,1,2,2,,No,,10,14
3,2,1,3,2,no,No,no,5,15
2,2,1,2,3,Used probability to influence my decisions,No,,5,16
1,1,1,1,5,,No,,5,17
1,1,1,1,3,,No,,5,18
5,5,1,3,3,probability calc,Yes,stats,5,19
1,1,1,1,3,i always chose certainty,No,,2,20
3,3,1,1,3,,No,,5,21
2,1,1,2,2,,No,,5,22
4,2,1,2,2,,No,,5,23
2,2,1,1,1,,Yes,A similar issue to the trolly problem - which evil is greater etc.,5,24
3,2,1,3,2,Decision making ,No,,10,25
1,1,1,1,4,if the amount that could not be saved in the first option was more than half then it was worth risking the full amount or all of them.,No,,5,26
2,2,1,1,3,if outcomes were similar for the most negative outcome I'd opt for the hope.,No,,5,27
2,1,1,1,3,,No,,5,28
2,1,1,2,2,no,No,,10,29
3,4,1,4,2,thinking if this could actually happen,No,,10,30
3,2,1,2,2,tried to think which one would be more serious and how great the risk was,No,,5,31
3,2,1,2,3,I didn't,No,,10,32
1,1,1,2,3,,No,,10,33
3,2,1,2,1,No matter what the odds I felt were not on my side. It seemed both outcomes were bad,No,,20,34
2,2,1,1,4,,No,,5,35
2,3,1,2,3,,No,,5,36
1,1,1,1,5,,No,,5,37
4,4,1,2,4,no additional strategies was used,No,,4,38
3,1,1,2,4,i tried to think of the least bad situation,No,na,5,39
2,2,1,3,3,No,No,,10,40
3,4,1,2,2,No,No,,5,41
3,2,1,2,2,Used calculator when considering the 33.3% chance and 66.6% chance of XYZ ,No,,5,42
2,2,1,2,2,flipping the coin and assumption,No,,5,43
1,2,1,2,1,No,No,,10,44
1,2,1,2,1,"None, except just comparing between  the two option",No,,10,45
3,2,2,2,3,No,Yes,School,20,46
2,2,1,1,4,,No,,5,47
3,2,1,2,3,,No,,5,48
1,1,1,1,3,,No,,5,49
2,1,1,1,4,,No,,5,50
3,4,1,2,2,none,No,,5,51
4,2,1,3,4,no,No,,5,52
2,3,1,2,3,,No,,5,53
3,2,1,2,2,,No,,5,54
1,1,1,3,5,none,No,no,$10,55
2,2,1,2,4,Weighing up the odds and the potential risk involved.,No,,5,56
1,1,1,5,1,None ,No,,0,57
2,1,1,2,3,,No,,4,58
3,2,1,2,2,For some of the problems I calculated expected values.,Yes,"In maths books about probabilities, and expected value.",$5,59
1,2,1,1,3,,No,,5,60
3,3,1,2,3,human life above material,Yes,survey,5,61
2,2,1,2,3,,No,,5,62
3,4,1,2,2,I tried to work out the more favourable option,No,,$5,63
2,1,1,1,3,no,No,,5,64
4,2,2,3,2,I imagined myself being in the unfavourable of the senerio and how I would feel. ,No,,10$,65
3,1,1,2,4,None used,Yes,Have encountered studies where you have to make a decision from two not good scenarios!,5,66
2,2,1,1,2,,No,,5,67
3,2,1,2,3,NO,No,,5,68
3,2,1,1,3,,No,,5,69
2,2,1,2,2,no,No,,5,70
1,1,1,1,4,I chose the option that gave the most hope,No,,5,71
2,1,1,2,4,Yes - tried to balance the severity of the outcome.,No,,5,72
2,2,1,2,1,none,Yes,its the trolly problem,10,73
3,2,2,3,2,Try and pick the most beneficial choice,No,,5,74
3,2,1,2,4,Severity of situation (paintings versus death),No,,5,76
2,2,1,1,1,-,No,,5,77
2,2,1,2,2,,No,,5,78
1,2,1,2,4,i just made calculated risk,No,,10,79
2,2,1,1,3,"I think that a certain small success is better than a large chance of failure, especially when considering human lives.",No,,5,80
5,5,1,3,5,Not really - Sometimes I felt like I wanted to just randomize it because I wasn't 100% sure. So when you asked how confident I was I wasn't super confident at times. ,No,I don't think so,5,81
2,1,1,1,5,,No,,5,82
4,1,1,2,1,Calculation and probability,No,,5,83
2,1,1,1,2,,No,,5,84
