participant_id,framing_awareness,framing_explanation,inclusion
4,Yes,On other surveys,
6,Yes,social dilemmas like the train hitting one or 4 people ,
8,Yes,I am aware of stats and outcomes,
19,Yes,stats,
24,Yes,A similar issue to the trolly problem - which evil is greater etc.,
46,Yes,School,
59,Yes,"In maths books about probabilities, and expected value.",
61,Yes,survey,
66,Yes,Have encountered studies where you have to make a decision from two not good scenarios!,
73,Yes,its the trolly problem,
85,Yes,"i have seen types of questions like this in games, by friends asking what would I do in certain situations",
92,Yes,Seen this question format before where two less than ideal options are compared,
94,Yes,in the law of nature,
95,Yes,,
98,Yes,i have expirienced questions based on my decision making,
104,Yes,Occasionally in philosophy articles,
109,Yes,The questions reminded me of one of the questions in the Official Sorting Quiz on the Wizarding World website (the question about the potential cure for dragon pox).,
112,Yes,A lot of other Prolific studies have similar decision making questions.,
113,Yes,in behviorl econ clss,
116,Yes,in my books while i was in university during my research project,
120,Yes,I have done another survey that had had similar type questions,
124,Yes,A common moral dilemma involving driving,
128,Yes,Studied games theory many years ago,
138,Yes,What if scenarios,
139,Yes,The cart and the people on the train tracks dilemma.,
142,Yes,cost benefit analysis questions are common/ would you rather questions,
149,Yes,daily life,
154,Yes,From a previous survey,
75,Yes,estimating probabilities,
168,Yes,Sounds a bit like the Trolley Problem? ,
183,Yes,I've answered similar questions in other studies where it's a choice between guaranteed percentage or chance of all or nothing,
185,Yes,"I have encountered these scenarios and questions in online surveys, as well as during gaming sessions.",
205,Yes,At Ysurvey,
208,Yes,I have encountered many hypotheticals and choosing the best of two bad options throughout my life.,
220,Yes,"Similar as far as options with chances of all, some, or none, but different questions",
224,Yes,I don't recall exactly where but I have encountered similar questions before,
229,Yes,Through studying probability and percent chance of something happening as well as the implications of that,
230,Yes,There are certain studies that I've done before that test my decision making when it comes to risk,
232,Yes,in studies/ in exams and some survey's,
234,Yes,Done a lot o research in the past.,
235,Yes,We do it at work as risk assessment,
236,Yes,"Similar, but with less implied impact - i.e. ""would you take £2 now, or £5 later"" sort of thing. ",
240,Yes,I've encountered similar questions but not the exact ones,
256,Yes,"Yes, through activities that teach ethics by using thical dilemmas and thought experiments.",
260,Yes,,
264,Yes,From doing surveys like these. I have not read what the researchers concluded from the surveys. ,
270,Yes,"Examples are similar to those in 'Thinking, Fast and Slow''",
273,Yes,I've done previous studies where I had to choose from limited option set.,
283,Yes,I believe I have taken part in a similar study to do with directing an out of control lorry carrying poison.,
293,Yes,Have done other studies on prolific in which I have asked similar questions about which option to choose when one is guaranteed and the other has a chance of not succeeding,
324,Yes,From other studies with similar premises.,
326,Yes,Other studies on prolific,
328,Yes,"I have encountered similar decision-making scenarios in books about behavioral economics and psychology, particularly in discussions about the framing effect and risk perception.",
329,Yes,Common problem solving that most people see in hypothetical situations,
335,Yes,I have answered similar questions on a previous study in the past,
341,Yes,"The questions I've seen usually give two bad options, but ine of them is essentially a gamble between an even worse outcome or a better one. ",
343,Yes,I have encountered similar types of choices playing role-playing video games,
349,Yes,From social media about the train tracks. Which tests your moral ground.,
351,Yes,I was playing a hypothetical game with my friend and we were asking each other similar questions. ,
376,Yes,Philosophy,
379,Yes,I've seen these type of questions before where you can't really make a good choice but you need to make a choice,
385,Yes,The trolley problem,
389,Yes,"Yes, during the math lesson when working out probabilities",
400,Yes,"Yes! These questions remind me much of the scenarios that would be presented to us during Philosophy  class. We would often have discussions surrounding the topic of ""do the needs of many outweigh those of the few"" and how making no choice is also a choice.",
402,Yes,I have encountered situation where I have to make decision based on percentage ,
407,Yes,,
412,Yes,In other surveys.,
431,Yes,"This reminds me of the trolley problem, wherein an individual has to decide whether to sacrifice one person to save a larger number of people",
438,Yes,Train tracks situation,
439,Yes,Other surveys and the trolley scenario,
440,Yes,"I have read similar things online, particularly when covid hit, ",
445,Yes,i got a survey asking a similar question to that,
450,Yes,we are asked to decide whether to save 20 people and let one person die by a car crash on the one person who can possibly prevent the 20 people from being killed by the car,
451,Yes,"Yes, I discussed the trolley problem several times throughout my academic experience. ",
453,Yes,other surveys,
456,Yes,"In school, studying morals ",
461,Yes,Just in conversation with friends about the greater good. Or subjects on tv shows,
464,Yes,it was about shopping in a particular mall,
465,Yes,Yes I have ,
466,Yes,These are basically trolley problems,
476,Yes,"Other studies, which had similar questions around Covid, and other possible diseases.",
492,Yes,I have had to decide between two options about various situations.,
504,Yes,Similar concepts mentioned in discussions of population ethics I've read,
515,Yes,"There is that popular train situation where save one life or two if move track, also I have done some prolific studies describing hostage scenario and choice has to be made about saving number of lives ",
534,Yes,some studies require that i calculate the percentage between 0% and 100%,
536,Yes,"These kinds of dilemmas are actually inspired by something called the Asian Disease Problem, which was created by psychologists Amos Tversky as well as Daniel Kahneman back in the 1980s. Their research showed the way a problem is framed. It can completely change people's decisions, whether it's focused on gains, like “lives saved,” or losses, like “lives lost.” Even if all of the options are logically the same, we tend to make different of the choices just based on the way how the situation is worded.",
544,Yes,I've done surveys and studies where questions like these were asked of me before,
553,Yes,I get a lot of questions like that from studies,
555,Yes,I have been through those sorts of gimmick sites where you make ethical choices (i.e. trolley problem etc.),
559,Yes,political science courses,
