participant_id,framing_awareness,framing_explanation,inclusion
4,Yes,On other surveys,1
6,Yes,social dilemmas like the train hitting one or 4 people,1
8,Yes,I am aware of stats and outcomes,1
19,Yes,stats,1
24,Yes,A similar issue to the trolly problem - which evil is greater etc.,1
46,Yes,School,1
59,Yes,"In maths books about probabilities, and expected value.",1
61,Yes,survey,1
66,Yes,Have encountered studies where you have to make a decision from two not good scenarios!,1
73,Yes,its the trolly problem,1
85,Yes,"i have seen types of questions like this in games, by friends asking what would I do in certain situations",1
92,Yes,Seen this question format before where two less than ideal options are compared,1
94,Yes,in the law of nature,1
95,Yes,,1
98,Yes,i have expirienced questions based on my decision making,1
104,Yes,Occasionally in philosophy articles,1
109,Yes,The questions reminded me of one of the questions in the Official Sorting Quiz on the Wizarding World website (the question about the potential cure for dragon pox).,1
112,Yes,A lot of other Prolific studies have similar decision making questions.,1
113,Yes,in behviorl econ clss,0
116,Yes,in my books while i was in university during my research project,0
120,Yes,I have done another survey that had had similar type questions,1
124,Yes,A common moral dilemma involving driving,1
128,Yes,Studied games theory many years ago,0
138,Yes,What if scenarios,1
139,Yes,The cart and the people on the train tracks dilemma.,1
142,Yes,cost benefit analysis questions are common/ would you rather questions,1
149,Yes,daily life,1
154,Yes,From a previous survey,1
75,Yes,estimating probabilities,1
168,Yes,Sounds a bit like the Trolley Problem? ,1
183,Yes,I've answered similar questions in other studies where it's a choice between guaranteed percentage or chance of all or nothing,1
185,Yes,"I have encountered these scenarios and questions in online surveys, as well as during gaming sessions.",1
205,Yes,At Ysurvey,1
208,Yes,I have encountered many hypotheticals and choosing the best of two bad options throughout my life.,1
220,Yes,"Similar as far as options with chances of all, some, or none, but different questions",1
224,Yes,I don't recall exactly where but I have encountered similar questions before,1
229,Yes,Through studying probability and percent chance of something happening as well as the implications of that,1
230,Yes,There are certain studies that I've done before that test my decision making when it comes to risk,1
232,Yes,in studies/ in exams and some survey's,0
234,Yes,Done a lot o research in the past.,0
235,Yes,We do it at work as risk assessment,1
236,Yes,"Similar, but with less implied impact - i.e. ""would you take £2 now, or £5 later"" sort of thing.",1
