"dataset","term","estimate","ci_lower","ci_upper","p_value","significance"
"Strict","(Intercept)",63.55,55.3,71.8,0,"<0.001"
"Strict","frameloss",-9.18,-28.97,10.61,0.36,"ns"
"Strict","choice1",-3.05,-19.9,13.79,0.72,"ns"
"Strict","frameloss:choice1",6.28,-19.5,32.06,0.63,"ns"
"Less strict","(Intercept)",63.45,57.09,69.8,0,"<0.001"
"Less strict","frameloss",-7.28,-22.63,8.07,0.35,"ns"
"Less strict","choice1",-5.11,-17.44,7.21,0.41,"ns"
"Less strict","frameloss:choice1",10.09,-9.5,29.68,0.31,"ns"
"Super strict","(Intercept)",57.72,46.39,69.05,0,"<0.001"
"Super strict","frameloss",-7.92,-32.23,16.38,0.52,"ns"
"Super strict","choice1",5.5,-14.13,25.13,0.58,"ns"
"Super strict","frameloss:choice1",-0.59,-31.08,29.91,0.97,"ns"
