"dataset","term","estimate","ci_lower","ci_upper","p_value","significance"
"Strict","(Intercept)",61.88,55.02,68.74,0,"<0.001"
"Strict","frameloss",-4.11,-13.67,5.45,0.4,"ns"
"Strict","choice0",4.31,-3.48,12.1,0.28,"ns"
"Strict","choice1",-1.99,-12.02,8.03,0.7,"ns"
"Strict","frameloss:choice0",-5.2,-18.48,8.08,0.44,"ns"
"Strict","frameloss:choice1",1.63,-11.3,14.56,0.8,"ns"
"Less strict","(Intercept)",61.23,55.89,66.57,0,"<0.001"
"Less strict","frameloss",-3.15,-10.78,4.48,0.42,"ns"
"Less strict","choice0",6.38,0.19,12.56,0.04,"<0.05"
"Less strict","choice1",0.76,-7.23,8.74,0.85,"ns"
"Less strict","frameloss:choice0",-4.59,-15.45,6.28,0.41,"ns"
"Less strict","frameloss:choice1",0.45,-10.05,10.95,0.93,"ns"
"Super strict","(Intercept)",59.37,50.18,68.56,0,"<0.001"
"Super strict","frameloss",-7.28,-19.67,5.11,0.25,"ns"
"Super strict","choice0",5.42,-4.7,15.54,0.29,"ns"
"Super strict","choice1",-0.96,-13.73,11.81,0.88,"ns"
"Super strict","frameloss:choice0",-3.29,-19.29,12.71,0.69,"ns"
"Super strict","frameloss:choice1",4.44,-11.74,20.62,0.59,"ns"
