"Question","Dataset","Estimate","CI_Lower","CI_Upper","Std_Error","z_value","Odds_Ratio","OR_CI_Lower","OR_CI_Upper","p_value","significance"
"Disease","Strict","-1.15","-1.80","-0.50","0.33","-3.48","0.32","0.17","0.60","0.00","<.001***"
"Disease","Strict","2.88","1.89","3.87","0.51","5.68","17.81","6.60","48.10","0.00","<.001***"
"Disease","Less Strict","-1.02","-1.52","-0.52","0.25","-3.99","0.36","0.22","0.60","0.00","<.001***"
"Disease","Less Strict","2.69","1.90","3.48","0.40","6.65","14.73","6.66","32.56","0.00","<.001***"
"Disease","Super Strict","-0.69","-1.49","0.11","0.41","-1.70","0.50","0.22","1.11","0.09","ns"
"Disease","Super Strict","2.42","1.17","3.66","0.63","3.81","11.20","3.23","38.83","0.00","<.001***"
"Painting","Strict","-1.03","-1.75","-0.31","0.37","-2.79","0.36","0.17","0.74","0.01","<.01**"
"Painting","Strict","1.58","0.67","2.50","0.47","3.38","4.86","1.94","12.16","0.00","<.001***"
"Painting","Less Strict","-0.97","-1.59","-0.36","0.31","-3.10","0.38","0.20","0.70","0.00","<.01**"
"Painting","Less Strict","1.38","0.60","2.16","0.40","3.47","3.96","1.82","8.64","0.00","<.001***"
"Painting","Super Strict","-1.66","-2.73","-0.59","0.55","-3.04","0.19","0.07","0.55","0.00","<.01**"
"Painting","Super Strict","1.87","0.62","3.12","0.64","2.94","6.49","1.87","22.54","0.00","<.01**"
"Virus","Strict","-0.57","-1.25","0.11","0.35","-1.64","0.57","0.29","1.12","0.10","ns"
"Virus","Strict","1.77","0.64","2.91","0.58","3.06","5.90","1.89","18.40","0.00","<.01**"
"Virus","Less Strict","-0.46","-1.03","0.12","0.29","-1.56","0.63","0.36","1.13","0.12","ns"
"Virus","Less Strict","1.26","0.39","2.13","0.44","2.83","3.52","1.47","8.41","0.00","<.01**"
"Virus","Super Strict","-0.41","-1.21","0.39","0.41","-0.99","0.67","0.30","1.48","0.32","ns"
"Virus","Super Strict","1.50","0.21","2.79","0.66","2.28","4.50","1.24","16.35","0.02","<.05*"
