"dataset","dataset_slug","model","term","Estimate","CI_lower","CI_upper","Std.Error","z.value","p.value","significance","OR","OR_CI_lower","OR_CI_upper"
"Strict","strict","qfix_interaction","(Intercept)","-1.74","-2.12","-1.36","0.20","-8.93","4.10e-19","<.001***","0.18","0.12","0.26"
"Strict","strict","qfix_interaction","frameloss","0.59","0.08","1.10","0.26","2.25","0.02","<.05*","1.80","1.08","3.00"
"Strict","strict","qfix_interaction","questionPainting","-0.37","-0.85","0.12","0.25","-1.47","0.14","ns","0.69","0.43","1.13"
"Strict","strict","qfix_interaction","questionVirus","-0.44","-0.93","0.06","0.25","-1.73","0.08","ns","0.65","0.40","1.06"
"Strict","strict","qfix_interaction","frameloss:questionPainting","0.34","-0.35","1.02","0.35","0.95","0.34","ns","1.40","0.70","2.79"
"Strict","strict","qfix_interaction","frameloss:questionVirus","-0.58","-1.32","0.16","0.38","-1.53","0.13","ns","0.56","0.27","1.18"
"Less strict","less_strict","qfix_interaction","(Intercept)","-1.49","-1.79","-1.20","0.15","-10.00","1.57e-23","<.001***","0.22","0.17","0.30"
"Less strict","less_strict","qfix_interaction","frameloss","0.52","0.11","0.92","0.21","2.49","0.01","<.05*","1.68","1.12","2.52"
"Less strict","less_strict","qfix_interaction","questionPainting","-0.57","-0.97","-0.17","0.20","-2.78","0.01","<.01**","0.57","0.38","0.85"
"Less strict","less_strict","qfix_interaction","questionVirus","-0.62","-1.02","-0.21","0.21","-2.99","2.76e-03","<.01**","0.54","0.36","0.81"
"Less strict","less_strict","qfix_interaction","frameloss:questionPainting","0.44","-0.13","1.01","0.29","1.51","0.13","ns","1.55","0.88","2.75"
"Less strict","less_strict","qfix_interaction","frameloss:questionVirus","-0.23","-0.83","0.38","0.31","-0.73","0.46","ns","0.80","0.44","1.46"
"Super strict","super_strict","qfix_interaction","(Intercept)","-1.97","-2.44","-1.49","0.24","-8.04","8.98e-16","<.001***","0.14","0.09","0.23"
"Super strict","super_strict","qfix_interaction","frameloss","0.66","0.04","1.28","0.32","2.08","0.04","<.05*","1.93","1.04","3.59"
"Super strict","super_strict","qfix_interaction","questionPainting","-0.10","-0.70","0.51","0.31","-0.31","0.76","ns","0.91","0.50","1.67"
"Super strict","super_strict","qfix_interaction","questionVirus","-0.10","-0.70","0.51","0.31","-0.31","0.76","ns","0.91","0.50","1.67"
"Super strict","super_strict","qfix_interaction","frameloss:questionPainting","0.31","-0.53","1.14","0.43","0.72","0.47","ns","1.36","0.59","3.13"
"Super strict","super_strict","qfix_interaction","frameloss:questionVirus","-0.58","-1.46","0.30","0.45","-1.28","0.20","ns","0.56","0.23","1.36"
