"dataset","dataset_slug","model","term","Estimate","CI_lower","CI_upper","Std.Error","z.value","p.value","significance","OR","OR_CI_lower","OR_CI_upper"
"Strict","strict","qfix_no_interaction","(Intercept)","-1.72","-2.05","-1.38","0.17","-10.05","9.53e-24","<.001***","0.18","0.13","0.25"
"Strict","strict","qfix_no_interaction","frameloss","0.55","0.20","0.90","0.18","3.08","2.05e-03","<.01**","1.73","1.22","2.45"
"Strict","strict","qfix_no_interaction","questionPainting","-0.20","-0.54","0.14","0.17","-1.13","0.26","ns","0.82","0.58","1.16"
"Strict","strict","qfix_no_interaction","questionVirus","-0.70","-1.07","-0.33","0.19","-3.70","2.19e-04","<.001***","0.50","0.34","0.72"
"Less strict","less_strict","qfix_no_interaction","(Intercept)","-1.53","-1.79","-1.27","0.13","-11.55","7.19e-31","<.001***","0.22","0.17","0.28"
"Less strict","less_strict","qfix_no_interaction","frameloss","0.60","0.33","0.88","0.14","4.30","1.74e-05","<.001***","1.83","1.39","2.40"
"Less strict","less_strict","qfix_no_interaction","questionPainting","-0.35","-0.64","-0.07","0.14","-2.43","0.02","<.05*","0.70","0.53","0.93"
"Less strict","less_strict","qfix_no_interaction","questionVirus","-0.72","-1.03","-0.42","0.15","-4.69","2.69e-06","<.001***","0.48","0.36","0.66"
"Super strict","super_strict","qfix_no_interaction","(Intercept)","-1.93","-2.34","-1.52","0.21","-9.27","1.80e-20","<.001***","0.15","0.10","0.22"
"Super strict","super_strict","qfix_no_interaction","frameloss","0.60","0.21","0.99","0.20","2.99","2.82e-03","<.01**","1.82","1.23","2.70"
"Super strict","super_strict","qfix_no_interaction","questionPainting","0.07","-0.35","0.48","0.21","0.32","0.75","ns","1.07","0.71","1.61"
"Super strict","super_strict","qfix_no_interaction","questionVirus","-0.37","-0.81","0.07","0.22","-1.66","0.10","ns","0.69","0.44","1.07"
