"dataset","dataset_slug","model","outcome","choice_comparison","term","Estimate","CI_lower","CI_upper","Std.Error","z.value","p.value","significance","OR","OR_CI_lower","OR_CI_upper"
"Strict","strict","multinom_interaction","1","Risky vs Sure","(Intercept)","-1.36","-1.69","-1.03","0.17","-8.07","7.05e-16","<.001***","0.26","0.18","0.36"
"Strict","strict","multinom_interaction","1","Risky vs Sure","frameloss","2.52","2.01","3.03","0.26","9.64","5.39e-22","<.001***","12.44","7.45","20.76"
"Strict","strict","multinom_interaction","1","Risky vs Sure","questionPainting","0.04","-0.42","0.50","0.23","0.18","0.86","ns","1.04","0.66","1.65"
"Strict","strict","multinom_interaction","1","Risky vs Sure","questionVirus","0.52","0.08","0.95","0.22","2.33","0.02","<.05*","1.68","1.08","2.59"
"Strict","strict","multinom_interaction","1","Risky vs Sure","frameloss:questionPainting","-0.81","-1.50","-0.11","0.35","-2.28","0.02","<.05*","0.45","0.22","0.89"
"Strict","strict","multinom_interaction","1","Risky vs Sure","frameloss:questionVirus","-0.75","-1.43","-0.08","0.34","-2.18","0.03","<.05*","0.47","0.24","0.93"
"Strict","strict","multinom_interaction","2","Neutral vs Sure","(Intercept)","-1.24","-1.55","-0.92","0.16","-7.69","1.48e-14","<.001***","0.29","0.21","0.40"
"Strict","strict","multinom_interaction","2","Neutral vs Sure","frameloss","1.71","1.17","2.25","0.27","6.24","4.32e-10","<.001***","5.52","3.23","9.45"
"Strict","strict","multinom_interaction","2","Neutral vs Sure","questionPainting","-0.32","-0.79","0.15","0.24","-1.33","0.18","ns","0.73","0.45","1.16"
"Strict","strict","multinom_interaction","2","Neutral vs Sure","questionVirus","-0.26","-0.74","0.22","0.24","-1.07","0.28","ns","0.77","0.48","1.24"
"Strict","strict","multinom_interaction","2","Neutral vs Sure","frameloss:questionPainting","-0.23","-0.97","0.52","0.38","-0.60","0.55","ns","0.80","0.38","1.67"
"Strict","strict","multinom_interaction","2","Neutral vs Sure","frameloss:questionVirus","-0.80","-1.61","0.00","0.41","-1.96","0.05","ns","0.45","0.20","1.00"
"Less strict","less_strict","multinom_interaction","1","Risky vs Sure","(Intercept)","-1.29","-1.56","-1.01","0.14","-9.12","7.43e-20","<.001***","0.28","0.21","0.36"
"Less strict","less_strict","multinom_interaction","1","Risky vs Sure","frameloss","2.38","1.94","2.82","0.22","10.68","1.26e-26","<.001***","10.79","6.98","16.70"
"Less strict","less_strict","multinom_interaction","1","Risky vs Sure","questionPainting","0.12","-0.25","0.50","0.19","0.64","0.52","ns","1.13","0.78","1.65"
"Less strict","less_strict","multinom_interaction","1","Risky vs Sure","questionVirus","0.50","0.14","0.86","0.18","2.71","0.01","<.01**","1.65","1.15","2.37"
"Less strict","less_strict","multinom_interaction","1","Risky vs Sure","frameloss:questionPainting","-0.85","-1.44","-0.27","0.30","-2.86","4.25e-03","<.01**","0.43","0.24","0.76"
"Less strict","less_strict","multinom_interaction","1","Risky vs Sure","frameloss:questionVirus","-0.79","-1.37","-0.22","0.29","-2.70","0.01","<.01**","0.45","0.26","0.80"
"Less strict","less_strict","multinom_interaction","2","Neutral vs Sure","(Intercept)","-1.08","-1.33","-0.82","0.13","-8.27","1.34e-16","<.001***","0.34","0.26","0.44"
"Less strict","less_strict","multinom_interaction","2","Neutral vs Sure","frameloss","1.60","1.15","2.05","0.23","7.00","2.58e-12","<.001***","4.96","3.17","7.77"
"Less strict","less_strict","multinom_interaction","2","Neutral vs Sure","questionPainting","-0.50","-0.90","-0.11","0.20","-2.48","0.01","<.05*","0.61","0.41","0.90"
"Less strict","less_strict","multinom_interaction","2","Neutral vs Sure","questionVirus","-0.44","-0.84","-0.04","0.20","-2.16","0.03","<.05*","0.64","0.43","0.96"
"Less strict","less_strict","multinom_interaction","2","Neutral vs Sure","frameloss:questionPainting","-0.11","-0.74","0.52","0.32","-0.33","0.74","ns","0.90","0.48","1.69"
"Less strict","less_strict","multinom_interaction","2","Neutral vs Sure","frameloss:questionVirus","-0.53","-1.20","0.13","0.34","-1.57","0.12","ns","0.59","0.30","1.14"
"Super strict","super_strict","multinom_interaction","1","Risky vs Sure","(Intercept)","-1.48","-1.88","-1.07","0.21","-7.18","7.17e-13","<.001***","0.23","0.15","0.34"
"Super strict","super_strict","multinom_interaction","1","Risky vs Sure","frameloss","2.52","1.93","3.12","0.30","8.31","9.81e-17","<.001***","12.49","6.88","22.66"
"Super strict","super_strict","multinom_interaction","1","Risky vs Sure","questionPainting","0.03","-0.54","0.59","0.29","0.09","0.93","ns","1.03","0.58","1.81"
"Super strict","super_strict","multinom_interaction","1","Risky vs Sure","questionVirus","0.68","0.15","1.20","0.27","2.53","0.01","<.05*","1.97","1.16","3.33"
"Super strict","super_strict","multinom_interaction","1","Risky vs Sure","frameloss:questionPainting","-0.81","-1.63","0.01","0.42","-1.94","0.05","ns","0.44","0.20","1.01"
"Super strict","super_strict","multinom_interaction","1","Risky vs Sure","frameloss:questionVirus","-0.87","-1.66","-0.08","0.40","-2.17","0.03","<.05*","0.42","0.19","0.92"
"Super strict","super_strict","multinom_interaction","2","Neutral vs Sure","(Intercept)","-1.55","-1.96","-1.13","0.21","-7.31","2.75e-13","<.001***","0.21","0.14","0.32"
"Super strict","super_strict","multinom_interaction","2","Neutral vs Sure","frameloss","1.75","1.09","2.41","0.34","5.22","1.79e-07","<.001***","5.75","2.98","11.09"
"Super strict","super_strict","multinom_interaction","2","Neutral vs Sure","questionPainting","-0.08","-0.68","0.51","0.30","-0.28","0.78","ns","0.92","0.51","1.67"
"Super strict","super_strict","multinom_interaction","2","Neutral vs Sure","questionVirus","0.08","-0.53","0.68","0.31","0.25","0.80","ns","1.08","0.59","1.97"
"Super strict","super_strict","multinom_interaction","2","Neutral vs Sure","frameloss:questionPainting","-0.24","-1.14","0.66","0.46","-0.52","0.60","ns","0.79","0.32","1.93"
"Super strict","super_strict","multinom_interaction","2","Neutral vs Sure","frameloss:questionVirus","-0.84","-1.80","0.12","0.49","-1.71","0.09","ns","0.43","0.17","1.13"
