"dataset","dataset_slug","model","outcome","choice_comparison","term","Estimate","CI_lower","CI_upper","Std.Error","z.value","p.value","significance","OR","OR_CI_lower","OR_CI_upper"
"Strict","strict","multinom_no_interaction","1","Risky vs Sure","(Intercept)","-1.15","-1.41","-0.89","0.13","-8.64","5.42e-18","<.001***","0.32","0.25","0.41"
"Strict","strict","multinom_no_interaction","1","Risky vs Sure","frameloss","1.99","1.72","2.26","0.14","14.39","5.79e-47","<.001***","7.30","5.57","9.56"
"Strict","strict","multinom_no_interaction","1","Risky vs Sure","questionPainting","-0.33","-0.66","-0.00","0.17","-1.97","0.05","<.05*","0.72","0.52","1.00"
"Strict","strict","multinom_no_interaction","1","Risky vs Sure","questionVirus","0.24","-0.08","0.55","0.16","1.46","0.15","ns","1.27","0.92","1.74"
"Strict","strict","multinom_no_interaction","2","Neutral vs Sure","(Intercept)","-1.16","-1.44","-0.89","0.14","-8.35","6.70e-17","<.001***","0.31","0.24","0.41"
"Strict","strict","multinom_no_interaction","2","Neutral vs Sure","frameloss","1.38","1.07","1.69","0.16","8.71","3.10e-18","<.001***","3.98","2.92","5.43"
"Strict","strict","multinom_no_interaction","2","Neutral vs Sure","questionPainting","-0.32","-0.67","0.03","0.18","-1.77","0.08","ns","0.73","0.51","1.04"
"Strict","strict","multinom_no_interaction","2","Neutral vs Sure","questionVirus","-0.51","-0.89","-0.13","0.19","-2.62","0.01","<.01**","0.60","0.41","0.88"
"Less strict","less_strict","multinom_no_interaction","1","Risky vs Sure","(Intercept)","-1.05","-1.27","-0.83","0.11","-9.43","4.02e-21","<.001***","0.35","0.28","0.44"
"Less strict","less_strict","multinom_no_interaction","1","Risky vs Sure","frameloss","1.81","1.58","2.04","0.12","15.51","2.80e-54","<.001***","6.10","4.85","7.66"
"Less strict","less_strict","multinom_no_interaction","1","Risky vs Sure","questionPainting","-0.26","-0.54","0.01","0.14","-1.88","0.06","ns","0.77","0.58","1.01"
"Less strict","less_strict","multinom_no_interaction","1","Risky vs Sure","questionVirus","0.19","-0.08","0.46","0.14","1.38","0.17","ns","1.21","0.92","1.58"
"Less strict","less_strict","multinom_no_interaction","2","Neutral vs Sure","(Intercept)","-1.05","-1.28","-0.83","0.12","-9.11","8.60e-20","<.001***","0.35","0.28","0.44"
"Less strict","less_strict","multinom_no_interaction","2","Neutral vs Sure","frameloss","1.38","1.12","1.64","0.13","10.31","6.48e-25","<.001***","3.96","3.05","5.15"
"Less strict","less_strict","multinom_no_interaction","2","Neutral vs Sure","questionPainting","-0.44","-0.73","-0.14","0.15","-2.89","3.87e-03","<.01**","0.65","0.48","0.87"
"Less strict","less_strict","multinom_no_interaction","2","Neutral vs Sure","questionVirus","-0.57","-0.89","-0.26","0.16","-3.57","3.53e-04","<.001***","0.56","0.41","0.77"
"Super strict","super_strict","multinom_no_interaction","1","Risky vs Sure","(Intercept)","-1.23","-1.53","-0.92","0.16","-7.76","8.80e-15","<.001***","0.29","0.22","0.40"
"Super strict","super_strict","multinom_no_interaction","1","Risky vs Sure","frameloss","1.96","1.64","2.28","0.16","11.96","5.54e-33","<.001***","7.08","5.14","9.76"
"Super strict","super_strict","multinom_no_interaction","1","Risky vs Sure","questionPainting","-0.37","-0.76","0.02","0.20","-1.85","0.06","ns","0.69","0.47","1.02"
"Super strict","super_strict","multinom_no_interaction","1","Risky vs Sure","questionVirus","0.32","-0.05","0.70","0.19","1.69","0.09","ns","1.38","0.95","2.01"
"Super strict","super_strict","multinom_no_interaction","2","Neutral vs Sure","(Intercept)","-1.46","-1.81","-1.11","0.18","-8.23","1.85e-16","<.001***","0.23","0.16","0.33"
"Super strict","super_strict","multinom_no_interaction","2","Neutral vs Sure","frameloss","1.41","1.03","1.78","0.19","7.38","1.53e-13","<.001***","4.09","2.81","5.94"
"Super strict","super_strict","multinom_no_interaction","2","Neutral vs Sure","questionPainting","-0.10","-0.53","0.33","0.22","-0.44","0.66","ns","0.91","0.59","1.40"
"Super strict","super_strict","multinom_no_interaction","2","Neutral vs Sure","questionVirus","-0.19","-0.65","0.27","0.24","-0.81","0.42","ns","0.83","0.52","1.31"
