"Question","Dataset","Choice (vs Sure)","Estimate (log-OR)","95% CI (log-OR)","OR","95% CI (OR)","p"
"Disease","Strict","Risky (loss vs gain)","2.52","[2.01, 3.03]","12.44","[7.45, 20.76]","<.001"
"Disease","Strict","Neutral (loss vs gain)","1.71","[1.17, 2.25]","5.52","[3.23, 9.45]","<.001"
"Disease","Less Strict","Risky (loss vs gain)","2.38","[1.94, 2.82]","10.79","[6.98, 16.70]","<.001"
"Disease","Less Strict","Neutral (loss vs gain)","1.60","[1.15, 2.05]","4.96","[3.17, 7.77]","<.001"
"Disease","Super Strict","Risky (loss vs gain)","2.52","[1.93, 3.12]","12.49","[6.88, 22.66]","<.001"
"Disease","Super Strict","Neutral (loss vs gain)","1.75","[1.09, 2.41]","5.75","[2.98, 11.09]","<.001"
"Painting","Strict","Risky (loss vs gain)","1.72","[1.25, 2.18]","5.56","[3.49, 8.85]","<.001"
"Painting","Strict","Neutral (loss vs gain)","1.48","[0.97, 2.00]","4.40","[2.63, 7.36]","<.001"
"Painting","Less Strict","Risky (loss vs gain)","1.53","[1.14, 1.92]","4.60","[3.12, 6.79]","<.001"
"Painting","Less Strict","Neutral (loss vs gain)","1.50","[1.05, 1.94]","4.46","[2.86, 6.95]","<.001"
"Painting","Super Strict","Risky (loss vs gain)","1.72","[1.15, 2.28]","5.56","[3.17, 9.75]","<.001"
"Painting","Super Strict","Neutral (loss vs gain)","1.51","[0.90, 2.12]","4.52","[2.45, 8.34]","<.001"
"Virus","Strict","Risky (loss vs gain)","1.77","[1.33, 2.21]","5.86","[3.77, 9.10]","<.001"
"Virus","Strict","Neutral (loss vs gain)","0.91","[0.31, 1.51]","2.47","[1.36, 4.51]","0.003"
"Virus","Less Strict","Risky (loss vs gain)","1.59","[1.21, 1.96]","4.89","[3.37, 7.10]","<.001"
"Virus","Less Strict","Neutral (loss vs gain)","1.07","[0.57, 1.56]","2.91","[1.77, 4.77]","<.001"
"Virus","Super Strict","Risky (loss vs gain)","1.65","[1.13, 2.17]","5.21","[3.10, 8.77]","<.001"
"Virus","Super Strict","Neutral (loss vs gain)","0.91","[0.21, 1.61]","2.49","[1.24, 5.02]","0.01"
