"dataset","dataset_slug","term","Estimate","CI_lower","CI_upper","p.value","significance","Std.Error","z.value"
"Strict","strict","(Intercept)","-1.53","-1.89","-1.16","1.95e-16","<.001***","0.19","-8.23"
"Strict","strict","frameloss","2.68","2.20","3.16","4.14e-28","<.001***","0.24","10.99"
"Strict","strict","taskfollow","0.34","-0.21","0.89","0.22","ns","0.28","1.21"
"Strict","strict","questionPainting","-0.47","-0.81","-0.13","0.01","<.01**","0.18","-2.68"
"Strict","strict","questionVirus","0.25","-0.09","0.59","0.15","ns","0.17","1.44"
"Strict","strict","frameloss:taskfollow","0.20","-0.59","1.00","0.61","ns","0.40","0.50"
"Less strict","less_strict","(Intercept)","-1.38","-1.68","-1.08","1.59e-19","<.001***","0.15","-9.04"
"Less strict","less_strict","frameloss","2.44","2.05","2.84","6.18e-34","<.001***","0.20","12.14"
"Less strict","less_strict","taskfollow","0.29","-0.16","0.74","0.21","ns","0.23","1.26"
"Less strict","less_strict","questionPainting","-0.41","-0.70","-0.13","4.76e-03","<.01**","0.15","-2.82"
"Less strict","less_strict","questionVirus","0.18","-0.10","0.46","0.21","ns","0.14","1.24"
"Less strict","less_strict","frameloss:taskfollow","0.10","-0.55","0.75","0.76","ns","0.33","0.30"
"Super strict","super_strict","(Intercept)","-1.64","-2.10","-1.18","2.93e-12","<.001***","0.24","-6.98"
"Super strict","super_strict","frameloss","2.75","2.15","3.36","3.57e-19","<.001***","0.31","8.95"
"Super strict","super_strict","taskfollow","0.61","-0.09","1.32","0.09","ns","0.36","1.70"
"Super strict","super_strict","questionPainting","-0.72","-1.14","-0.29","9.48e-04","<.001***","0.22","-3.31"
"Super strict","super_strict","questionVirus","0.31","-0.10","0.72","0.14","ns","0.21","1.48"
"Super strict","super_strict","frameloss:taskfollow","-0.11","-1.09","0.87","0.83","ns","0.50","-0.22"
