"Question","Dataset","Term","Choice (vs Sure)","Estimate (log-OR)","95% CI (log-OR)","OR","95% CI (OR)","p"
"Disease","Strict","frameloss","Risky","2.52","[2.01, 3.03]","12.44","[7.45, 20.76]","<.001"
"Disease","Strict","taskfollow","Risky","0.21","[-0.52, 0.94]","1.23","[0.60, 2.56]","0.57"
"Disease","Strict","frameloss:taskfollow","Risky","0.36","[-0.76, 1.48]","1.43","[0.47, 4.38]","0.53"
"Disease","Less Strict","frameloss","Risky","2.38","[1.94, 2.82]","10.79","[6.98, 16.70]","<.001"
"Disease","Less Strict","taskfollow","Risky","0.27","[-0.30, 0.84]","1.31","[0.74, 2.32]","0.35"
"Disease","Less Strict","frameloss:taskfollow","Risky","0.31","[-0.59, 1.22]","1.36","[0.55, 3.37]","0.50"
"Disease","Super Strict","frameloss","Risky","2.52","[1.93, 3.12]","12.49","[6.88, 22.66]","<.001"
"Disease","Super Strict","taskfollow","Risky","0.78","[-0.11, 1.68]","2.19","[0.89, 5.36]","0.09"
"Disease","Super Strict","frameloss:taskfollow","Risky","-0.11","[-1.49, 1.27]","0.90","[0.23, 3.56]","0.88"
"Painting","Strict","frameloss","Risky","1.72","[1.25, 2.18]","5.56","[3.49, 8.85]","<.001"
"Painting","Strict","taskfollow","Risky","0.29","[-0.50, 1.08]","1.34","[0.61, 2.95]","0.47"
"Painting","Strict","frameloss:taskfollow","Risky","-0.13","[-1.16, 0.89]","0.87","[0.31, 2.45]","0.80"
"Painting","Less Strict","frameloss","Risky","1.53","[1.14, 1.92]","4.60","[3.12, 6.79]","<.001"
"Painting","Less Strict","taskfollow","Risky","0.19","[-0.47, 0.86]","1.21","[0.62, 2.36]","0.57"
"Painting","Less Strict","frameloss:taskfollow","Risky","-0.15","[-1.02, 0.72]","0.86","[0.36, 2.06]","0.74"
"Painting","Super Strict","frameloss","Risky","1.71","[1.15, 2.28]","5.56","[3.17, 9.75]","<.001"
"Painting","Super Strict","taskfollow","Risky","-0.21","[-1.35, 0.93]","0.81","[0.26, 2.54]","0.72"
"Painting","Super Strict","frameloss:taskfollow","Risky","0.15","[-1.21, 1.52]","1.17","[0.30, 4.58]","0.82"
"Virus","Strict","frameloss","Risky","1.77","[1.33, 2.21]","5.86","[3.77, 9.10]","<.001"
"Virus","Strict","taskfollow","Risky","0.28","[-0.46, 1.01]","1.32","[0.63, 2.75]","0.46"
"Virus","Strict","frameloss:taskfollow","Risky","0.01","[-1.21, 1.23]","1.01","[0.30, 3.41]","0.99"
"Virus","Less Strict","frameloss","Risky","1.59","[1.21, 1.96]","4.89","[3.37, 7.10]","<.001"
"Virus","Less Strict","taskfollow","Risky","0.33","[-0.29, 0.95]","1.39","[0.75, 2.59]","0.30"
"Virus","Less Strict","frameloss:taskfollow","Risky","-0.33","[-1.28, 0.62]","0.72","[0.28, 1.86]","0.50"
"Virus","Super Strict","frameloss","Risky","1.65","[1.13, 2.17]","5.21","[3.10, 8.76]","<.001"
"Virus","Super Strict","taskfollow","Risky","0.39","[-0.47, 1.26]","1.48","[0.62, 3.53]","0.37"
"Virus","Super Strict","frameloss:taskfollow","Risky","-0.15","[-1.54, 1.24]","0.86","[0.21, 3.47]","0.84"
