"dataset","dataset_slug","model","term","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Strict","strict","qfix","frame","645.98","645.98","1.00","219.65","3.71","0.06"
"Strict","strict","qfix","choice","5.18","5.18","1.00","164.96","0.03","0.86"
"Strict","strict","qfix","question","838.23","419.12","2.00","130.73","2.41","0.09"
"Strict","strict","qfix","frame:choice","779.38","779.38","1.00","168.58","4.48","0.04"
"Less strict","less_strict","qfix","frame","242.64","242.64","1.00","308.17","1.28","0.26"
"Less strict","less_strict","qfix","choice","50.22","50.22","1.00","278.87","0.27","0.61"
"Less strict","less_strict","qfix","question","676.66","338.33","2.00","189.38","1.79","0.17"
"Less strict","less_strict","qfix","frame:choice","575.58","575.58","1.00","286.62","3.04","0.08"
"Super strict","super_strict","qfix","frame","576.89","576.89","1.00","141.90","3.22","0.07"
"Super strict","super_strict","qfix","choice","0.87","0.87","1.00","123.19","0.00","0.94"
"Super strict","super_strict","qfix","question","703.12","351.56","2.00","93.71","1.96","0.15"
"Super strict","super_strict","qfix","frame:choice","518.52","518.52","1.00","120.11","2.89","0.09"
