"dataset","dataset_slug","model","term","Estimate","CI_lower","CI_upper","Std.Error","t.value","p.value","significance"
"Strict","strict","qfix","(Intercept)","62.64","57.17","68.11","2.79","22.44","1.00e-61","<.001***"
"Strict","strict","qfix","frameloss","-12.72","-21.75","-3.68","4.61","-2.76","0.01","<.01**"
"Strict","strict","qfix","choice1","-5.40","-13.01","2.20","3.88","-1.39","0.17","ns"
"Strict","strict","qfix","questionPainting","1.71","-3.30","6.71","2.55","0.67","0.51","ns"
"Strict","strict","qfix","questionVirus","-4.78","-10.30","0.75","2.82","-1.69","0.09","ns"
"Strict","strict","qfix","frameloss:choice1","11.76","0.87","22.66","5.56","2.12","0.04","<.05*"
"Less strict","less_strict","qfix","(Intercept)","64.01","59.33","68.70","2.39","26.78","1.17e-87","<.001***"
"Less strict","less_strict","qfix","frameloss","-7.56","-15.13","0.01","3.86","-1.96","0.05","ns"
"Less strict","less_strict","qfix","choice1","-5.48","-12.28","1.32","3.47","-1.58","0.12","ns"
"Less strict","less_strict","qfix","questionPainting","-0.36","-4.81","4.10","2.28","-0.16","0.88","ns"
"Less strict","less_strict","qfix","questionVirus","-4.37","-9.11","0.38","2.42","-1.80","0.07","ns"
"Less strict","less_strict","qfix","frameloss:choice1","8.48","-1.05","18.01","4.86","1.74","0.08","ns"
"Super strict","super_strict","qfix","(Intercept)","59.80","52.97","66.64","3.49","17.15","5.24e-38","<.001***"
"Super strict","super_strict","qfix","frameloss","-12.73","-22.72","-2.73","5.10","-2.50","0.01","<.05*"
"Super strict","super_strict","qfix","choice1","-5.75","-15.35","3.85","4.90","-1.17","0.24","ns"
"Super strict","super_strict","qfix","questionPainting","2.42","-4.01","8.86","3.28","0.74","0.46","ns"
"Super strict","super_strict","qfix","questionVirus","-5.00","-11.70","1.70","3.42","-1.46","0.15","ns"
"Super strict","super_strict","qfix","frameloss:choice1","11.03","-1.68","23.74","6.48","1.70","0.09","ns"
