"dataset","dataset_slug","model","term","Estimate","CI_lower","CI_upper","Std.Error","t.value","p.value","significance"
"Strict","strict","qrandom","(Intercept)","61.77","56.11","67.43","2.89","21.38","2.70e-10","<.001***"
"Strict","strict","qrandom","frameloss","-12.18","-21.15","-3.21","4.58","-2.66","0.01","<.01**"
"Strict","strict","qrandom","choice1","-5.72","-13.30","1.87","3.87","-1.48","0.14","ns"
"Strict","strict","qrandom","frameloss:choice1","11.67","0.84","22.49","5.52","2.11","0.04","<.05*"
"Less strict","less_strict","qrandom","(Intercept)","62.72","58.10","67.35","2.36","26.58","4.22e-15","<.001***"
"Less strict","less_strict","qrandom","frameloss","-7.55","-15.04","-0.07","3.82","-1.98","0.05","<.05*"
"Less strict","less_strict","qrandom","choice1","-5.85","-12.63","0.92","3.46","-1.69","0.09","ns"
"Less strict","less_strict","qrandom","frameloss:choice1","8.88","-0.55","18.31","4.81","1.85","0.07","ns"
"Super strict","super_strict","qrandom","(Intercept)","59.23","52.79","65.66","3.28","18.05","6.02e-10","<.001***"
"Super strict","super_strict","qrandom","frameloss","-11.86","-21.74","-1.99","5.04","-2.35","0.02","<.05*"
"Super strict","super_strict","qrandom","choice1","-6.71","-16.22","2.81","4.86","-1.38","0.17","ns"
"Super strict","super_strict","qrandom","frameloss:choice1","11.10","-1.54","23.74","6.45","1.72","0.09","ns"
