"dataset","term","estimate","ci_lower","ci_upper","p_value","significance"
"Strict","(Intercept)",65.93,57.57,74.28,0,"<0.001"
"Strict","frameloss",-9.77,-22.91,3.37,0.14,"ns"
"Strict","choice1",-1.33,-17.62,14.96,0.87,"ns"
"Strict","frameloss:choice1",0.47,-20.2,21.15,0.96,"ns"
"Less strict","(Intercept)",66.46,58.95,73.97,0,"<0.001"
"Less strict","frameloss",-6.14,-17.58,5.3,0.29,"ns"
"Less strict","choice1",-1.53,-15.86,12.8,0.83,"ns"
"Less strict","frameloss:choice1",-4.1,-22.25,14.05,0.66,"ns"
"Super strict","(Intercept)",62.05,52.57,71.53,0,"<0.001"
"Super strict","frameloss",-6.75,-20.93,7.42,0.34,"ns"
"Super strict","choice1",-2.05,-25.74,21.65,0.86,"ns"
"Super strict","frameloss:choice1",-2.1,-29.72,25.51,0.88,"ns"
