"dataset","term","estimate","ci_lower","ci_upper","p_value","significance"
"Strict","(Intercept)",57.22,49.33,65.1,0,"<0.001"
"Strict","frameloss",-38.55,-55.89,-21.21,0,"<0.001"
"Strict","choice1",-7.83,-20.95,5.29,0.24,"ns"
"Strict","frameloss:choice1",50.82,28.86,72.77,0,"<0.001"
"Less strict","(Intercept)",60.07,52.2,67.93,0,"<0.001"
"Less strict","frameloss",-20.61,-34.91,-6.3,0.01,"<0.01"
"Less strict","choice1",-7.54,-20.17,5.09,0.24,"ns"
"Less strict","frameloss:choice1",28.29,9.14,47.43,0,"<0.01"
"Super strict","(Intercept)",54.6,45.64,63.56,0,"<0.001"
"Super strict","frameloss",-34.2,-52.13,-16.27,0,"<0.001"
"Super strict","choice1",-8.5,-22.67,5.67,0.23,"ns"
"Super strict","frameloss:choice1",45.17,22.32,68.02,0,"<0.001"
