"dataset","dataset_slug","model","term","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Strict","strict","qfix","frame","1903.02","1903.02","1.00","522.99","8.73","3.27e-03"
"Strict","strict","qfix","choice","4661.45","2330.73","2.00","1175.07","10.69","2.50e-05"
"Strict","strict","qfix","question","4115.91","2057.95","2.00","913.93","9.44","8.73e-05"
"Strict","strict","qfix","frame:choice","4466.32","2233.16","2.00","1172.35","10.25","3.88e-05"
"Less strict","less_strict","qfix","frame","2059.67","2059.67","1.00","708.08","9.49","2.15e-03"
"Less strict","less_strict","qfix","choice","5055.80","2527.90","2.00","1621.37","11.65","9.49e-06"
"Less strict","less_strict","qfix","question","5344.02","2672.01","2.00","1261.40","12.31","5.06e-06"
"Less strict","less_strict","qfix","frame:choice","6130.39","3065.19","2.00","1617.98","14.12","8.30e-07"
"Super strict","super_strict","qfix","frame","2045.86","2045.86","1.00","375.70","8.86","3.10e-03"
"Super strict","super_strict","qfix","choice","5796.77","2898.39","2.00","841.81","12.56","4.24e-06"
"Super strict","super_strict","qfix","question","3883.98","1941.99","2.00","639.78","8.41","2.48e-04"
"Super strict","super_strict","qfix","frame:choice","2438.71","1219.36","2.00","839.88","5.28","0.01"
