"dataset","dataset_slug","model","term","Estimate","CI_lower","CI_upper","Std.Error","t.value","p.value","significance"
"Strict","strict","qfix","(Intercept)","56.33","52.50","60.15","1.95","28.86","3.75e-142","<.001***"
"Strict","strict","qfix","frameloss","-2.36","-7.71","2.98","2.73","-0.87","0.39","ns"
"Strict","strict","qfix","choice0","10.42","6.89","13.96","1.80","5.78","9.67e-09","<.001***"
"Strict","strict","qfix","choice1","6.28","1.95","10.60","2.21","2.84","4.52e-03","<.01**"
"Strict","strict","qfix","questionPainting","4.25","2.32","6.18","0.98","4.33","1.69e-05","<.001***"
"Strict","strict","qfix","questionVirus","1.77","-0.17","3.70","0.99","1.79","0.07","ns"
"Strict","strict","qfix","frameloss:choice0","-10.19","-15.85","-4.53","2.89","-3.53","4.30e-04","<.001***"
"Strict","strict","qfix","frameloss:choice1","0.52","-5.19","6.23","2.91","0.18","0.86","ns"
"Less strict","less_strict","qfix","(Intercept)","58.56","55.43","61.69","1.60","36.68","1.60e-220","<.001***"
"Less strict","less_strict","qfix","frameloss","-2.82","-7.23","1.60","2.25","-1.25","0.21","ns"
"Less strict","less_strict","qfix","choice0","9.59","6.66","12.51","1.49","6.43","1.72e-10","<.001***"
"Less strict","less_strict","qfix","choice1","3.84","0.34","7.33","1.78","2.15","0.03","<.05*"
"Less strict","less_strict","qfix","questionPainting","4.14","2.50","5.78","0.84","4.94","8.64e-07","<.001***"
"Less strict","less_strict","qfix","questionVirus","2.39","0.74","4.04","0.84","2.84","4.53e-03","<.01**"
"Less strict","less_strict","qfix","frameloss:choice0","-8.75","-13.46","-4.05","2.40","-3.65","2.71e-04","<.001***"
"Less strict","less_strict","qfix","frameloss:choice1","2.59","-2.10","7.27","2.39","1.08","0.28","ns"
"Super strict","super_strict","qfix","(Intercept)","53.04","48.33","57.76","2.41","22.04","3.84e-87","<.001***"
"Super strict","super_strict","qfix","frameloss","-3.01","-9.44","3.42","3.28","-0.92","0.36","ns"
"Super strict","super_strict","qfix","choice0","11.38","7.03","15.74","2.22","5.13","3.75e-07","<.001***"
"Super strict","super_strict","qfix","choice1","9.41","3.96","14.86","2.78","3.39","7.40e-04","<.001***"
"Super strict","super_strict","qfix","questionPainting","4.95","2.58","7.31","1.21","4.09","4.85e-05","<.001***"
"Super strict","super_strict","qfix","questionVirus","2.13","-0.25","4.50","1.21","1.76","0.08","ns"
"Super strict","super_strict","qfix","frameloss:choice0","-9.51","-16.34","-2.69","3.48","-2.73","0.01","<.01**"
"Super strict","super_strict","qfix","frameloss:choice1","-0.88","-8.00","6.25","3.64","-0.24","0.81","ns"
