"dataset","dataset_slug","model","term","Estimate","CI_lower","CI_upper","Std.Error","t.value","p.value","significance"
"Strict","strict","qrandom","(Intercept)","58.30","53.94","62.66","2.22","26.21","1.65e-17","<.001***"
"Strict","strict","qrandom","frameloss","-2.33","-7.68","3.02","2.73","-0.85","0.39","ns"
"Strict","strict","qrandom","choice0","10.46","6.93","14.00","1.80","5.80","8.57e-09","<.001***"
"Strict","strict","qrandom","choice1","6.31","1.99","10.63","2.21","2.86","4.30e-03","<.01**"
"Strict","strict","qrandom","frameloss:choice0","-10.17","-15.82","-4.51","2.89","-3.52","4.41e-04","<.001***"
"Strict","strict","qrandom","frameloss:choice1","0.45","-5.26","6.16","2.91","0.15","0.88","ns"
"Less strict","less_strict","qrandom","(Intercept)","60.69","56.90","64.48","1.93","31.37","5.24e-14","<.001***"
"Less strict","less_strict","qrandom","frameloss","-2.79","-7.20","1.63","2.25","-1.24","0.22","ns"
"Less strict","less_strict","qrandom","choice0","9.63","6.71","12.55","1.49","6.46","1.41e-10","<.001***"
"Less strict","less_strict","qrandom","choice1","3.89","0.40","7.39","1.78","2.19","0.03","<.05*"
"Less strict","less_strict","qrandom","frameloss:choice0","-8.74","-13.44","-4.04","2.40","-3.64","2.77e-04","<.001***"
"Less strict","less_strict","qrandom","frameloss:choice1","2.52","-2.16","7.20","2.39","1.06","0.29","ns"
"Super strict","super_strict","qrandom","(Intercept)","55.39","50.15","60.63","2.67","20.71","8.34e-17","<.001***"
"Super strict","super_strict","qrandom","frameloss","-2.97","-9.40","3.46","3.28","-0.91","0.37","ns"
"Super strict","super_strict","qrandom","choice0","11.40","7.04","15.75","2.22","5.13","3.64e-07","<.001***"
"Super strict","super_strict","qrandom","choice1","9.42","3.97","14.86","2.78","3.39","7.31e-04","<.001***"
"Super strict","super_strict","qrandom","frameloss:choice0","-9.48","-16.31","-2.66","3.48","-2.72","0.01","<.01**"
"Super strict","super_strict","qrandom","frameloss:choice1","-0.97","-8.09","6.15","3.63","-0.27","0.79","ns"
