"dataset","term","estimate","ci_lower","ci_upper","p_value","significance"
"Strict","(Intercept)",61.29,54.55,68.03,0,"<0.001"
"Strict","frameloss",-4.21,-13.08,4.66,0.35,"ns"
"Strict","choice0",8.19,0.77,15.61,0.03,"<0.05"
"Strict","choice1",7.79,-1.23,16.82,0.09,"ns"
"Strict","frameloss:choice0",-8.48,-19.39,2.43,0.13,"ns"
"Strict","frameloss:choice1",3.66,-7.98,15.3,0.54,"ns"
"Less strict","(Intercept)",63.06,57.21,68.9,0,"<0.001"
"Less strict","frameloss",-4.14,-11.83,3.54,0.29,"ns"
"Less strict","choice0",7.56,1.14,13.98,0.02,"<0.05"
"Less strict","choice1",5.34,-2.19,12.88,0.16,"ns"
"Less strict","frameloss:choice0",-6.55,-15.99,2.88,0.17,"ns"
"Less strict","frameloss:choice1",5.48,-4.41,15.36,0.28,"ns"
"Super strict","(Intercept)",58.52,50.38,66.66,0,"<0.001"
"Super strict","frameloss",-4.84,-15.31,5.64,0.36,"ns"
"Super strict","choice0",9.11,0.22,18.01,0.04,"<0.05"
"Super strict","choice1",11.51,0.49,22.53,0.04,"<0.05"
"Super strict","frameloss:choice0",-5.82,-18.52,6.88,0.37,"ns"
"Super strict","frameloss:choice1",1.41,-12.54,15.36,0.84,"ns"
