"dataset","term","estimate","ci_lower","ci_upper","p_value","significance"
"Strict","(Intercept)",53.31,46.2,60.41,0,"<0.001"
"Strict","frameloss",0.39,-10.58,11.36,0.94,"ns"
"Strict","choice0",17.49,9.63,25.35,0,"<0.001"
"Strict","choice1",9.4,0.64,18.17,0.04,"<0.05"
"Strict","frameloss:choice0",-16.59,-29.64,-3.54,0.01,"<0.05"
"Strict","frameloss:choice1",-0.25,-12.98,12.48,0.97,"ns"
"Less strict","(Intercept)",56.9,50.92,62.88,0,"<0.001"
"Less strict","frameloss",0.32,-8.49,9.12,0.94,"ns"
"Less strict","choice0",15.72,9.12,22.33,0,"<0.001"
"Less strict","choice1",7.08,-0.19,14.36,0.06,"ns"
"Less strict","frameloss:choice0",-14.27,-24.85,-3.69,0.01,"<0.01"
"Less strict","frameloss:choice1",-0.63,-10.96,9.7,0.9,"ns"
"Super strict","(Intercept)",50.24,41.89,58.59,0,"<0.001"
"Super strict","frameloss",1.26,-11.26,13.78,0.84,"ns"
"Super strict","choice0",18.19,8.94,27.45,0,"<0.001"
"Super strict","choice1",13.31,3.05,23.57,0.01,"<0.05"
"Super strict","frameloss:choice0",-16.72,-31.64,-1.8,0.03,"<0.05"
"Super strict","frameloss:choice1",-3.88,-18.5,10.73,0.6,"ns"
